name ts   x y z   roll pitch yaw  err delay
HR_6 1776353914.763933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   9e-06
QR_4 1776353914.763933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   9e-06
HR_6 1776353914.773933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   5e-05
QR_4 1776353914.773933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   5e-05
HR_6 1776353914.783933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.4e-05
QR_4 1776353914.783933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.4e-05
HR_6 1776353914.793933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   1.7e-05
QR_4 1776353914.793933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   1.7e-05
HR_6 1776353914.803933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3e-05
QR_4 1776353914.803933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3e-05
HR_6 1776353914.813933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.2e-05
QR_4 1776353914.813933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.2e-05
HR_6 1776353914.823933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   8e-06
QR_4 1776353914.823933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   8e-06
HR_6 1776353914.833933000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   4.8e-05
QR_4 1776353914.833933000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   4.8e-05
HR_6 1776353914.843934000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   7e-06
QR_4 1776353914.843934000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   7e-06
HR_6 1776353914.853934000 1.000000   -6.97636e-14 0.24 -3.85365e-14   3.6362e-10 -7.77307e-17 0.0001   3.8e-05
QR_4 1776353914.853934000 0.052429   0.057573 0.03 2.13334e-07   -5.26914e-08 0.0845111 0.0001   3.8e-05
