# pom logged on Tue Apr 28 09:38:20 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1777369100.308917000 0 1 1 1 1 1 -0.990741 -0.0184037 0.0134555 -0.0218721 -0.00871411 -0.0132605 0.00343022 -0.0747816 -0.0509456 -0.000888893 -0.00137844 0.00131206 -0.0894984 0.22177 -0.0147145 0.000313764 0.000313694 0.000308766 0.000540084 0.000546643 0.000551931 0.00998158 0.00996612 0.00871344 0.00998158 0.00996612 0.00871344 0.137068 0.136446 0.0847367
1777369100.311631000 0 1 1 1 1 1 -0.990732 -0.0186057 0.0133173 -0.021891 -0.00872123 -0.0132606 0.00317012 -0.0741748 -0.050969 -0.00187384 -0.00148247 0.00114122 -0.0904699 0.221937 -0.0136397 0.000321827 0.00032175 0.000316384 0.000539424 0.000545999 0.000551231 0.0100236 0.0100077 0.00871097 0.0100236 0.0100077 0.00871097 0.11344 0.112807 0.0611424
1777369100.312686000 0 1 1 1 1 1 -0.99225 -0.0193766 0.0223719 -0.0205959 -0.0101325 -0.0117744 -0.00524183 -0.0785055 -0.0105155 -0.00177939 -0.00169817 0.00133574 -0.105537 0.207999 -0.0118672 0.00028779 0.000287734 0.000283579 0.000510071 0.00051592 0.000521602 0.00917774 0.00916427 0.00799793 0.00917774 0.00916427 0.00799793 0.06563 0.0650605 0.0161226
1777369100.313899000 0 1 1 1 1 1 -0.992256 -0.0194717 0.0223592 -0.0205955 -0.0101359 -0.0117723 -0.00536872 -0.0782603 -0.0105235 -0.00144102 -0.00183793 0.00152458 -0.105276 0.207074 -0.0109821 0.000291045 0.000290986 0.00028666 0.000510006 0.000515854 0.000521532 0.00919603 0.00918237 0.00799756 0.00919603 0.00918237 0.00799756 0.0585582 0.0579926 0.00902879
1777369100.314819000 0 1 1 1 1 1 -0.992261 -0.0195436 0.0223495 -0.0205968 -0.0101377 -0.0117708 -0.00546558 -0.0780698 -0.0105336 -0.00144102 -0.00183793 0.00152458 -0.105276 0.207074 -0.0109821 0.000293532 0.000293472 0.000289013 0.000510034 0.000515882 0.00052156 0.0092104 0.00919661 0.00799769 0.0092104 0.00919661 0.00799769 0.0645713 0.0640057 0.0150419
1777369100.320258000 0 1 1 1 1 1 -0.992293 -0.0199653 0.0222921 -0.0205961 -0.0101477 -0.0117579 -0.00603114 -0.0769612 -0.010585 -0.000582987 -0.00177482 0.00208224 -0.104584 0.205521 -0.0103235 0.000308572 0.000308502 0.000303196 0.000510391 0.000516239 0.000521917 0.00929779 0.00928312 0.00799912 0.00929779 0.00928312 0.00799912 0.0933302 0.0927652 0.0437761
1777369100.320818000 0 1 1 1 1 1 -0.992296 -0.0200083 0.0222862 -0.0205964 -0.0101487 -0.0117567 -0.00608971 -0.0768461 -0.0105908 -0.000582987 -0.00177482 0.00208224 -0.104584 0.205521 -0.0103235 0.000310154 0.000310082 0.000304684 0.000510554 0.000516402 0.00052208 0.00930747 0.00929271 0.00799979 0.00930747 0.00929271 0.00799979 0.101238 0.100673 0.051684
1777369100.322337000 0 1 1 1 1 1 -0.992306 -0.0201248 0.0222701 -0.0205972 -0.0101514 -0.0117535 -0.00624857 -0.0765339 -0.0106064 -0.000582987 -0.00177482 0.00208224 -0.104584 0.205521 -0.0103235 0.000314474 0.0003144 0.000308743 0.000511253 0.000517101 0.00052278 0.00933491 0.00931991 0.00800262 0.00933491 0.00931991 0.00800262 0.126194 0.12563 0.0766405
1777369100.322841000 0 1 1 1 1 1 -0.992309 -0.0201634 0.0222647 -0.0205975 -0.0101523 -0.0117525 -0.00630129 -0.0764303 -0.0106116 -0.000582987 -0.00177482 0.00208224 -0.104584 0.205521 -0.0103235 0.000315918 0.000315843 0.000310098 0.00051159 0.000517438 0.000523116 0.00934449 0.0093294 0.00800398 0.00934449 0.0093294 0.00800398 0.135608 0.135043 0.0860544
1777369100.323809000 0 1 1 1 1 1 -0.992315 -0.0202373 0.0222544 -0.0205981 -0.010154 -0.0117505 -0.00640252 -0.0762314 -0.0106216 -0.000582987 -0.00177482 0.00208224 -0.104584 0.205521 -0.0103235 0.000318705 0.000318627 0.000312712 0.000512421 0.000518269 0.000523948 0.00936369 0.00934844 0.00800734 0.00936369 0.00934844 0.00800734 0.155271 0.154706 0.105717
