# logged on Tue Apr 28 09:38:20 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1777369100.330218000  9.98248 0 11.7042  16  nan  -0.000293826 -0.00184487 0.00222265  0.00106526 -0.00213053 0.00319579  -0.00699621 0.00233064 9.80189  0.00479004 0.0167651 9.78365  nan nan nan  nan nan nan  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0

1777369100.331168000  9.98248 0 11.7042  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.332210000  16.6916 0 11.7042  -  nan  0.000104964 -0.000894538 0.00130496  0.0015979 0.00266316 -0.00213053  -0.00715121 0.00175979 9.80137  -0.00958008 -0.00718506 9.79323  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.334801000  31.9285 0 14.6041  -  nan  0.000331088 -0.000318992 0.00109982  0.00213053 0.00426106 -0.000532632  -0.00707929 0.00221684 9.80178  -0.00479004 0.0167651 9.81479  - - -  - - -  - - - - - - - - 0 9.87292 9.014 0 9.87292 9.014 0 9.87292 9.014 0 9.87292 9.014 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.335162000  31.9285 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.336184000  39.1333 0 14.6041  -  nan  0.000531969 0.000192303 0.000917582  0.00213053 0.00426106 -0.000532632  -0.00700957 0.00265996 9.80217  -0.00479004 0.0167651 9.81479  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.337201000  48.9149 0 14.6041  -  nan  0.000710425 0.000646519 0.000755687  0.00213053 0.00426106 -0.000532632  -0.00694196 0.00308959 9.80256  -0.00479004 0.0167651 9.81479  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.339540000  48.9149 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.340276000  57.9952 0 14.6041  -  nan  0.000631116 0.000514884 0.00102809  0 -0.000532632 0.00319579  -0.00680347 0.00314139 9.80381  -0.00239502 0.00479004 9.84353  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.341193000  68.6135 0 14.6041  -  nan  2.55169e-05 -0.000315582 0.00174576  -0.00479369 -0.00692422 0.00745685  -0.00601264 0.0027539 9.80356  0.0191602 -0.00958008 9.79563  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.342205000  78.1736 0 14.6041  -  nan  0.000557813 -0.000220891 0.00172926  0.00479369 0.000532632 0.0015979  -0.0053918 0.00267002 9.80368  0.0143701 0 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.343187000  87.3216 0 14.6041  -  nan  0.00103069 -0.000136771 0.00171459  0.00479369 0.000532632 0.0015979  -0.00478987 0.0025887 9.8038  0.0143701 0 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.344175000  96.5393 0 14.6041  -  nan  0.000796704 -0.000359345 0.00122588  -0.00106526 -0.00213053 -0.00266316  -0.00508168 0.00192625 9.80355  -0.0143701 -0.0191602 9.79563  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.346947000  102.601 0 14.6041  -  nan  0.000588843 -0.000557071 0.000791728  -0.00106526 -0.00213053 -0.00266316  -0.00536459 0.00128398 9.80331  -0.0143701 -0.0191602 9.79563  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.347166000  102.601 0 14.6041  -  nan  0.000760949 -0.000613804 0.000584422  0.00213053 -0.00106526 -0.00106526  -0.00607659 0.00175552 9.80446  -0.0287402 0.0167651 9.84114  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.349238000  120.931 0 14.6041  -  nan  0.000913843 -0.000664203 0.000400259  0.00213053 -0.00106526 -0.00106526  -0.0067669 0.0022127 9.80558  -0.0287402 0.0167651 9.84114  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.353049000  137.272 0 14.6041  -  nan  0.000384348 -0.0010856 0.000540447  -0.0015979 -0.00266316 0.00106526  -0.00406211 0.0017926 9.80541  0.0383203 -0.00479004 9.80281  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.353163000  137.272 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.354169000  137.272 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.355172000  158.817 0 14.6041  -  nan  -0.000145808 -0.00155036 0.000802913  -0.00213053 -0.00479369 0.000532632  -0.00295413 0.00149065 9.80699  0.0167651 0.0191602 9.83635  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.356829000  166.938 0 14.6041  -  nan  -0.000367373 -0.00191243 0.00077274  -0.00213053 -0.00479369 0.000532632  -0.0023535 0.00202885 9.80788  0.0167651 0.0191602 9.83635  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.357169000  166.938 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.358509000  166.938 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.359183000  169.238 0 14.6041  -  nan  -0.000359253 -0.00170338 0.000225285  0.00266316 0.00479369 -0.00372843  -0.00182637 0.00296346 9.81077  -0.0215552 0 9.84832  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.360178000  169.238 0 14.6041  -  nan  -2.18448e-05 -0.0016916 0.000556899  0.00266316 -0.0015979 0.00319579  -0.00133304 0.00425925 9.81031  0.0143701 0.0455054 9.79563  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.361172000  169.238 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.362213000  184.274 0 14.6041  -  nan  0.000277896 -0.00168114 0.000851492  0.00266316 -0.0015979 0.00319579  -0.000854736 0.00551556 9.80986  0.0143701 0.0455054 9.79563  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.363179000  189.076 0 14.6041  -  nan  0.000900939 -0.00119616 0.000459133  0.00585895 0.00266316 -0.00266316  -0.000536902 0.00476396 9.81023  0.00958008 -0.0191602 9.82198  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.364176000  197.516 0 14.6041  -  nan  0.00145443 -0.000765327 0.000110575  0.00585895 0.00266316 -0.00266316  -0.000228749 0.00403526 9.81059  0.00958008 -0.0191602 9.82198  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.365181000  205.481 0 14.6041  -  nan  0.0012326 -0.00079881 9.82311e-05  -0.000532632 -0.00106526 0  -2.93115e-06 0.0042771 9.81181  0.00718506 0.0119751 9.85072  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.366176000  213.467 0 14.6041  -  nan  0.00103554 -0.000828556 8.72651e-05  -0.000532632 -0.00106526 0  0.000216008 0.00451157 9.81299  0.00718506 0.0119751 9.85072  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.367491000  213.467 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.371132000  221.229 0 14.6041  -  nan  0.00103886 -0.000200915 0.000255905  0.00106526 0.00479369 0.0015979  0.00152253 0.00495775 9.81297  0.0431104 0.0191602 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369100.372176000  232.089 0 14.6041  -  nan  0.00104181 0.000356658 0.000405718  0.00106526 0.00479369 0.0015979  0.00278925 0.00539035 9.81296  0.0431104 0.0191602 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.373169000  238.172 0 14.6041  -  nan  0.00104442 0.000851987 0.000538807  0.00106526 0.00479369 0.0015979  0.00401739 0.00580976 9.81294  0.0431104 0.0191602 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.374310000  238.172 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.375191000  238.172 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.376198000  249.273 0 14.6041  -  nan  0.000630528 0.000875797 -0.000175408  -0.00266316 0.00106526 -0.00585895  0.00491633 0.0051951 9.81176  0.0335303 -0.0143701 9.77407  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.377172000  252.357 0 14.6041  -  nan  0.00073852 0.000956408 8.20157e-05  0.0015979 0.0015979 0.00213053  0.00454773 0.00430736 9.81199  -0.00718506 -0.0239502 9.81958  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.378177000  259.986 0 14.6041  -  nan  0.000537154 0.00162263 0.00013232  -0.00106526 0.00692422 0.000532632  0.00455511 0.00483272 9.81157  0.00479004 0.0215552 9.79802  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.379320000  265.156 0 14.6041  -  nan  0.000358268 0.00221447 0.000177009  -0.00106526 0.00692422 0.000532632  0.00456227 0.00534207 9.81116  0.00479004 0.0215552 9.79802  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.380183000  265.156 0 14.6041  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.384043000  279.167 0 16.6869  -  nan  -5.41072e-05 0.00118623 0.000588827  -0.0015979 -0.00266316 0.00213053  0.00299547 0.00588366 9.80951  -0.0215552 0.0143701 9.78365  - - -  - - -  - - - - - - - - 0 9.87292 5.522 0 9.87292 5.522 0 9.87292 5.522 0 9.87292 5.522 - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1777369100.385171000  286.257 0 16.6869  -  nan  -0.000226449 0.0007565 0.000760935  -0.0015979 -0.00266316 0.00213053  0.00224769 0.00614215 9.80872  -0.0215552 0.0143701 9.78365  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.386168000  293.465 0 16.6869  -  nan  -0.00037955 0.000374745 0.00091383  -0.0015979 -0.00266316 0.00213053  0.00152267 0.00639277 9.80796  -0.0215552 0.0143701 9.78365  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.387235000  300.561 0 16.6869  -  nan  -0.000337179 0.000451831 0.00182264  0 0.00106526 0.00905475  0.00133039 0.00605215 9.80904  -0.00479004 -0.00479004 9.84353  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1777369100.388210000  307.78 0 16.6869  -  nan  -0.000299538 0.000520312 0.00263  0 0.00106526 0.00905475  0.00114397 0.00572191 9.81009  -0.00479004 -0.00479004 9.84353  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
